customer_id,full_name,phone_number,city,registration_date
1,Customer_1,218989942405,Tripoli,2025-05-14 14:22:56.648134
2,Customer_2,218950718467,Benghazi,2025-05-20 14:22:56.648147
3,Customer_3,218922020576,Benghazi,2025-05-02 14:22:56.648152
4,Customer_4,218971448645,Misrata,2025-11-30 14:22:56.648156
5,Customer_5,218934264239,Sabha,2026-01-04 14:22:56.648163
6,Customer_6,218929216939,Benghazi,2025-10-28 14:22:56.648167
7,Customer_7,218915189241,Tripoli,2025-07-21 14:22:56.648170
8,Customer_8,218971317716,Benghazi,2025-10-02 14:22:56.648174
9,Customer_9,218985643256,Benghazi,2025-09-12 14:22:56.648177
10,Customer_10,218926808588,Tripoli,2025-09-18 14:22:56.648180
11,Customer_11,218918634197,Benghazi,2025-08-04 14:22:56.648183
12,Customer_12,218977013349,Misrata,2025-03-05 14:22:56.648186
13,Customer_13,218975493519,Misrata,2025-06-04 14:22:56.648188
14,Customer_14,218933881090,Misrata,2025-08-23 14:22:56.648190
15,Customer_15,218947269360,Sabha,2025-05-06 14:22:56.648193
16,Customer_16,218940783836,Misrata,2025-09-05 14:22:56.648195
17,Customer_17,218955316444,Benghazi,2025-09-16 14:22:56.648197
18,Customer_18,218916261480,Benghazi,2025-04-16 14:22:56.648198
19,Customer_19,218931357434,Sabha,2025-05-08 14:22:56.648200
20,Customer_20,218995298584,Misrata,2025-12-14 14:22:56.648202
21,Customer_21,218991119177,Misrata,2026-02-14 14:22:56.648211
22,Customer_22,218994297071,Misrata,2025-12-23 14:22:56.648213
23,Customer_23,218982951621,Misrata,2025-03-07 14:22:56.648215
24,Customer_24,218958305496,Benghazi,2025-07-07 14:22:56.648217
25,Customer_25,218958665765,Benghazi,2025-09-20 14:22:56.648219
26,Customer_26,218957968896,Sabha,2025-07-16 14:22:56.648221
27,Customer_27,218984245850,Tripoli,2025-06-30 14:22:56.648223
28,Customer_28,218926541573,Misrata,2026-01-29 14:22:56.648225
29,Customer_29,218967287307,Tripoli,2025-10-23 14:22:56.648227
30,Customer_30,218963137858,Benghazi,2025-12-10 14:22:56.648230
31,Customer_31,218938796064,Misrata,2025-04-20 14:22:56.648231
32,Customer_32,218921696137,Tripoli,2025-04-27 14:22:56.648233
33,Customer_33,218983140527,Misrata,2025-10-12 14:22:56.648235
34,Customer_34,218950845529,Tripoli,2025-06-03 14:22:56.648237
35,Customer_35,218996738445,Misrata,2025-04-29 14:22:56.648239
36,Customer_36,218971986890,Benghazi,2025-08-08 14:22:56.648241
37,Customer_37,218954608580,Benghazi,2025-09-23 14:22:56.648243
38,Customer_38,218929956127,Sabha,2025-06-15 14:22:56.648245
39,Customer_39,218919683619,Benghazi,2025-05-06 14:22:56.648247
40,Customer_40,218941839315,Misrata,2025-06-20 14:22:56.648248
41,Customer_41,218984465706,Sabha,2025-06-13 14:22:56.648251
42,Customer_42,218932680646,Tripoli,2025-09-11 14:22:56.648253
43,Customer_43,218925653853,Tripoli,2025-07-06 14:22:56.648255
44,Customer_44,218972690487,Benghazi,2025-11-07 14:22:56.648257
45,Customer_45,218932949518,Sabha,2025-09-30 14:22:56.648259
46,Customer_46,218956322828,Benghazi,2025-06-13 14:22:56.648261
47,Customer_47,218978032881,Sabha,2025-04-11 14:22:56.648262
48,Customer_48,218946853846,Tripoli,2025-04-15 14:22:56.648264
49,Customer_49,218940012613,Sabha,2025-12-21 14:22:56.648266
50,Customer_50,218949814380,Benghazi,2025-10-29 14:22:56.648268
51,Customer_51,218991546034,Tripoli,2025-08-23 14:22:56.648269
52,Customer_52,218995754025,Sabha,2025-11-27 14:22:56.648271
53,Customer_53,218927450797,Tripoli,2026-01-27 14:22:56.648273
54,Customer_54,218940054127,Benghazi,2025-03-25 14:22:56.648276
55,Customer_55,218930024039,Sabha,2026-01-20 14:22:56.648277
56,Customer_56,218978188639,Tripoli,2025-03-15 14:22:56.648279
57,Customer_57,218948174667,Misrata,2025-04-22 14:22:56.648281
58,Customer_58,218999068204,Tripoli,2025-11-01 14:22:56.648283
59,Customer_59,218992817974,Tripoli,2025-08-09 14:22:56.648285
60,Customer_60,218982656149,Misrata,2026-01-18 14:22:56.648286
61,Customer_61,218973284636,Misrata,2025-08-30 14:22:56.648288
62,Customer_62,218920994514,Misrata,2025-07-20 14:22:56.648290
63,Customer_63,218926477142,Misrata,2025-04-22 14:22:56.648293
64,Customer_64,218931245418,Misrata,2025-12-08 14:22:56.648296
65,Customer_65,218933116306,Misrata,2025-03-20 14:22:56.648299
66,Customer_66,218911449633,Benghazi,2025-08-27 14:22:56.648301
67,Customer_67,218997889016,Benghazi,2025-05-07 14:22:56.648303
68,Customer_68,218933762584,Benghazi,2025-08-23 14:22:56.648305
69,Customer_69,218912561876,Tripoli,2025-02-28 14:22:56.648306
70,Customer_70,218941417445,Misrata,2026-02-17 14:22:56.648308
71,Customer_71,218995264206,Benghazi,2025-05-14 14:22:56.648310
72,Customer_72,218996623998,Misrata,2026-01-14 14:22:56.648312
73,Customer_73,218994530625,Misrata,2025-03-14 14:22:56.648314
74,Customer_74,218997175804,Tripoli,2025-06-08 14:22:56.648316
75,Customer_75,218999193666,Sabha,2025-08-12 14:22:56.648317
76,Customer_76,218962538806,Tripoli,2025-09-16 14:22:56.648319
77,Customer_77,218941954976,Tripoli,2025-08-15 14:22:56.648320
78,Customer_78,218975249749,Tripoli,2025-07-17 14:22:56.648323
79,Customer_79,218943683306,Misrata,2025-06-26 14:22:56.648325
80,Customer_80,218954131603,Benghazi,2025-11-23 14:22:56.648411
81,Customer_81,218934430561,Benghazi,2025-04-05 14:22:56.648413
82,Customer_82,218928186221,Sabha,2025-07-10 14:22:56.648415
83,Customer_83,218976669320,Sabha,2025-10-04 14:22:56.648417
84,Customer_84,218999361578,Misrata,2025-12-16 14:22:56.648419
85,Customer_85,218991394736,Benghazi,2025-09-01 14:22:56.648422
86,Customer_86,218932011808,Misrata,2025-08-29 14:22:56.648424
87,Customer_87,218948932808,Sabha,2025-06-06 14:22:56.648426
88,Customer_88,218949445517,Tripoli,2026-01-03 14:22:56.648428
89,Customer_89,218912558119,Benghazi,2025-05-25 14:22:56.648429
90,Customer_90,218992119325,Tripoli,2025-11-28 14:22:56.648431
91,Customer_91,218931809923,Tripoli,2025-09-15 14:22:56.648433
92,Customer_92,218968311067,Sabha,2025-11-20 14:22:56.648435
93,Customer_93,218967141623,Sabha,2025-04-17 14:22:56.648437
94,Customer_94,218997453528,Misrata,2026-02-02 14:22:56.648438
95,Customer_95,218976845804,Tripoli,2025-10-15 14:22:56.648440
96,Customer_96,218938642907,Sabha,2025-10-20 14:22:56.648444
97,Customer_97,218984594122,Sabha,2025-08-26 14:22:56.648446
98,Customer_98,218958375435,Sabha,2025-08-16 14:22:56.648447
99,Customer_99,218940749981,Sabha,2025-07-31 14:22:56.648450
100,Customer_100,218987472323,Sabha,2025-08-23 14:22:56.648451
